date,average_temperature
2024-09-12,6.455550272291666
2024-09-13,6.241203394684344
2024-09-14,7.960863920253622
2024-09-15,8.823124282395833
2024-09-16,9.814323911527778
2024-09-17,11.563611025648148
2024-09-18,10.863611025648148
2024-09-19,12.163611025648148
2024-09-20,10.963611025648148
2024-09-21,11.363611025648148
2024-09-22,11.763611025648148
2024-09-23,10.814562871666666
2024-09-24,11.380877313719806
2024-09-25,12.49856211545139
2024-09-26,12.49412433970679
2024-09-27,10.465981752245371
2024-09-28,7.662788787891414
2024-09-29,7.848787958913044
2024-09-30,13.072288526979166
2024-10-01,11.417864287373737
2024-10-02,10.361644579965278
2024-10-03,8.468241249938272
2024-10-04,7.877183278083334
2024-10-05,7.239683221307871
2024-10-06,8.976462951180556
2024-10-07,14.357817516540404
2024-10-08,10.913726189227052
2024-10-09,12.485674972689393
2024-10-10,10.1369069803125
2024-10-11,8.61755855048611
2024-10-12,7.813106476886574
2024-10-13,12.230926023564814
2024-10-14,11.986436248562802
2024-10-15,12.905357139374999
2024-10-16,14.45592572506536
2024-10-17,13.815809969502924
2024-10-18,11.732913160013227
2024-10-19,11.211460492604168
2024-10-20,12.217462681835748
2024-10-21,13.013860760995371
2024-10-22,13.829652851352659
2024-10-23,11.43881021995169
2024-10-24,11.666716221770834
2024-10-25,10.886098581840278
2024-10-26,8.90836990125
2024-10-27,10.143745999872685
2024-10-28,11.281598052395834
2024-10-29,10.849495591145834
2024-10-30,8.355885276747685
2024-10-31,6.60418481494213
2024-11-01,9.181471536134259
2024-11-02,6.828942178845029
2024-11-03,7.484022027108586
2024-11-04,7.093490786557971
2024-11-05,8.366764720034721
2024-11-06,7.408741889251208
2024-11-07,8.206581010772947
2024-11-08,7.41667133119213
2024-11-09,6.5194016572337965
2024-11-10,4.74181891125731
2024-11-11,5.346171028782051
2024-11-12,4.7906627861805555
2024-11-13,3.902709731111111
2024-11-14,2.344972840694444
2024-11-15,2.183218256732804
2024-11-16,4.075216864328704
2024-11-17,6.049439943683574
2024-11-18,5.295781584190821
2024-11-19,5.148224610524691
2024-11-20,2.402199651585648
2024-11-21,2.2710073450810184
2024-11-22,-0.583393818449074
2024-11-23,-0.3334220610648148
2024-11-24,6.954742853819444
2024-11-25,9.35455658130787
2024-11-26,5.6035272065393515
2024-11-27,4.5832958786805555
2024-11-28,6.764059942922706
2024-11-29,2.0780544882449496
2024-11-30,0.2860219215694445
2024-12-01,1.1904131190972222
2024-12-02,7.062745015229468
2024-12-03,3.293563568282828
2024-12-04,1.1488662578125
2024-12-05,1.095818977488426
2024-12-06,4.542094069398148
2024-12-07,2.568228769090909
2024-12-08,0.833328892632275
2024-12-09,1.3000352755555555
2024-12-10,0.85082868775
2024-12-11,0.1342359764379085
2024-12-12,-1.6376011536507937
2024-12-13,-1.988959552013889
2024-12-14,0.6632153170424837
2024-12-15,0.8760768451805555
2024-12-16,0.6449219690046296
2024-12-17,3.9261513523842595
2024-12-18,6.173211025034722
2024-12-19,5.77885448015873
2024-12-20,-0.38908958399305565
2024-12-21,0.08551924409090907
2024-12-22,2.025072035050505
2024-12-23,-0.03040300310185187
2024-12-24,-1.4316865227020203
2024-12-25,-2.7753247644097225
2024-12-26,-2.460314567083333
2024-12-27,-2.086585012511574
2024-12-28,-1.3124448050925925
2024-12-29,-0.2282200483564815
2024-12-30,-1.0466300784722222
2024-12-31,1.287685729861111
2025-01-01,3.2868485714004634
2025-01-02,3.6035361171643516
2025-01-03,-0.5694693291540404
2025-01-04,-1.6290809440393519
2025-01-05,5.333372592569444
2025-01-06,5.416350321435186
2025-01-07,3.071819673835979
2025-01-08,6.653907104381313
2025-01-09,5.428910743309179
2025-01-10,0.2031343828472222
2025-01-11,-1.098038922638889
2025-01-12,-3.416686432025463
2025-01-13,-3.545912887763158
2025-01-14,-4.0735328234803925
2025-01-15,-2.653769726830808
2025-01-16,-0.7916780584656086
2025-01-17,-2.0714324349074076
2025-01-18,-2.437367739490741
2025-01-19,-0.3543254693055556
2025-01-20,0.8704622575810186
2025-01-21,0.6712585795601852
2025-01-22,2.386696893449074
2025-01-23,3.915570013310185
2025-01-24,5.955350241909723
2025-01-25,8.610324295972221
2025-01-26,3.929783062210648
2025-01-27,6.228456792881944
2025-01-28,2.96162389755291
2025-01-29,3.2500518814583335
2025-01-30,3.5416825937615743
2025-01-31,2.979911684444444
2025-02-01,1.7916958749382716
2025-02-02,0.765020515530303
2025-02-03,-0.12707220992063492
2025-02-04,-0.32606890014492756
2025-02-05,-0.7833499605833334
2025-02-06,-1.3809329042857144
2025-02-07,-0.5324190780709877
2025-02-08,1.2013104568981483
2025-02-09,2.413133526747685
2025-02-10,4.5996193337777775
2025-02-11,5.325007891856726
2025-02-12,5.351085932475845
2025-02-13,4.5294325680972225
2025-02-14,0.6873184781884057
2025-02-15,-0.7825114280555555
2025-02-16,1.5235582577314817
2025-02-17,-0.751379944280303
2025-02-18,-0.3682255525603865
2025-02-19,2.4865265921527775
2025-02-20,6.613447322881945
2025-02-21,6.6783115896875
2025-02-22,8.463681988768116
2025-02-23,6.683539230041667
2025-02-24,6.293868448703704
2025-02-25,6.333777982916667
2025-02-26,2.0713325355555554
2025-02-27,2.896931969548611
2025-02-28,2.1128005730439816
2025-03-01,1.5552643373439152
2025-03-02,2.2374396986842107
2025-03-03,3.306716688796296
2025-03-04,5.390063107257576
2025-03-05,6.996347095205314
2025-03-06,7.266858595810185
2025-03-07,7.395905163113426
2025-03-08,7.961117752430556
2025-03-09,9.57888846181713
2025-03-10,8.151223403171295
2025-03-11,7.301769394661835
2025-03-12,5.462515399902778
2025-03-13,3.903710503282828
2025-03-14,2.469173630236111
2025-03-15,1.4096704810416667
2025-03-16,2.0916107009150324
2025-03-17,2.513324658417875
2025-03-18,3.781305725914352
2025-03-19,6.736063984733796
2025-03-20,9.778426547590703
2025-03-21,11.794871794871796
2025-03-22,11.08695652173913
2025-03-23,9.757575757575758
2025-03-24,8.65
2025-03-25,8.973684210526315
2025-03-26,8.439024390243903
2025-03-27,8.4
2025-03-28,7.625
2025-03-29,7.173913043478261
